input_id,page_id,symbol,name,value_or_equation,unit,input_class,source_citation,source_location,price_year,currency,scope,normalisation,uncertainty,downstream_consumers,verification_status,issue_ids,notes
INP-0108,ELEC-004,L_export_legacy,Legacy export route length,80,km,scenario_assumption,,infra_params.yaml,,,Route ends at shore,None,Outside TenneT 150-300 km programme range,"cable cost/loss",inconsistent,"ISS-0067; ISS-0072",
INP-0109,ELEC-004,L_TenneT,Programme route range,"150-300",km,sourced_design,@tennet2024TwoGWProgram,Reference Cable System,,,TenneT projects excluding MPI,None,Programme not feasibility bound,"reference validation",verified,,
INP-0110,ELEC-004,lambda_cable,Historical cable-system fault rate,0.07,faults per 100 km-year,sourced_input,@entsoeEuropacable2019Reliability,Reliability and Repair,,,Historical pure-cable HVDC systems,None,Small sample and older systems,"availability states",verified,ISS-0025,
INP-0111,ELEC-004,t_repair,Historical average submarine repair duration,60,days,sourced_input,@entsoeEuropacable2019Reliability,Reliability and Repair,,,Historical submarine cable faults,None,Large project-specific variation,"availability states; OPEX",verified,"ISS-0025; ISS-0070",
INP-0112,ELEC-004,A_cable,Flat HVDC cable availability,99,percent,legacy_assumption,,Current Assumptions,,,Complete cable system,None,No evidence,delivered electricity,unsupported,ISS-0025,
INP-0113,ELEC-004,P_link_code,Legacy export cable capacity,2010,MW,legacy_code_assumption,,infra_params.yaml,,,One counted export link,None,Differs from 2 GW page basis,"link count; CAPEX",inconsistent,"ISS-0023; ISS-0064",
INP-0114,ELEC-003,c_offshore_converter_code,Legacy offshore converter cost,1000000,currency/MW,legacy_code_assumption,,infra_params.yaml,,,Offshore converter only,None,Currency/price/scope unclear,legacy CAPEX,inconsistent,ISS-0064,
INP-0115,ELEC-005,c_onshore_code,Legacy onshore substation cost,150000,currency/MW,legacy_code_assumption,,infra_params.yaml,,,Onshore substation,None,Currency/price/scope unclear,legacy CAPEX,inconsistent,"ISS-0064; ISS-0071",
INP-0116,ELEC-004,c_export_code,Legacy export cable supply rate,5500,currency/route-m,legacy_code_assumption,,infra_params.yaml,,,One counted export link,None,Price/scope unclear,legacy CAPEX,inconsistent,"ISS-0064; ISS-0065; ISS-0066",
INP-0117,ELEC-004,eta_export_code,Legacy combined export efficiency,98,percent,legacy_code_assumption,,yield_params.yaml,,,Electrical export chain boundary unclear,None,No distance dependence,legacy delivered energy,inconsistent,"ISS-0064; ISS-0068; ISS-0074",
INP-0118,ELEC-004,A_export_code,Legacy combined export availability,97,percent,legacy_code_assumption,,yield_params.yaml,,,Electrical export chain boundary unclear,None,No component states,legacy delivered energy,inconsistent,"ISS-0024; ISS-0064; ISS-0074",
INP-0119,ELEC-005,I_AC,Illustrative 380 kV AC current at unity power factor,3.04,kA,derived_result,,Electrical Rating,,,2 GW three-phase connection,None,Illustrative,"grid equipment rating",verified,,
INP-0120,ELEC-005,"S_095; Q_095",Illustrative duty at 0.95 power factor,"2.105;657","GVA; MVAr",derived_result,,Electrical Rating,,,2 GW connection,None,Not selected grid-code point,"converter MVA; compensation",verified,ISS-0072,
INP-0121,ELEC-005,"Q_deliver; Q_absorb",Dutch reactive capability ratios,"0.35;0.40",fraction of Pmax,sourced_requirement,@dutchSystemCode2026,Electrical Rating,,,HVDC station at Dutch PCC,None,Voltage-envelope dependent,"grid qualification",verified,ISS-0072,
INP-0122,ELEC-005,A_site,Indicative onshore converter footprint,5.5,ha,sourced_input,@tennetDoordewind,Physical Layout,,,Doordewind station before underground 380 kV connection,None,Site specific,"land/site cost",verified,ISS-0071,
INP-0123,ELEC-005,eta_onshore_repeated,Repeated onshore converter efficiency,98.5,percent,linked_assumption,@hitachiDolWin2,Conversion and Transformer Losses,,,Same boundary as INP-0100,None,Duplicate owner,delivered electricity,inconsistent,ISS-0074,
INP-0124,ELEC-005,A_onshore_repeated,Repeated onshore station availability,98.0,percent,linked_assumption,,Availability Curtailment and Resilience,,,Same boundary as INP-0101,None,Duplicate owner,delivered electricity,inconsistent,"ISS-0024; ISS-0074",
INP-0125,H2I-002,A_farm,Farm area,scenario value,km2,scenario_input,,Pipeline-Length Model,,,Square proxy,None,"Boundary and shape unresolved","side length; infield length",not_checked,"ISS-0034; ISS-0076",
INP-0126,H2I-002,N_turb,Turbine count,ceil(P_target/P_turb),count,derived_result,,Reference Calculation,,,Decentralised farm,None,Depends on upstream design,"rung count; connection count",partially_verified,ISS-0076,
INP-0127,H2I-002,n_rung,Continuous rung-count proxy,sqrt(N_turb),count-equivalent,derived_result,@internalModelDescription2026,Pipeline-Length Model,,,Optimisation proxy,None,Non-physical fractional asset,L_infield,verified,ISS-0076,Arithmetic verified but not suitable as adopted physical count
INP-0128,H2I-002,n_rung_int,Integer rung-count proxy,ceil(sqrt(N_turb)),count,derived_result,,Pipeline-Length Model,,,Square-grid proxy,None,Does not map actual coordinates,L_infield_int,partially_verified,ISS-0076,
INP-0129,H2I-002,L_infield,Horizontal ladder length,"sqrt(A_farm)*(sqrt(N_turb)+2) or integer variant",km,derived_result,@internalModelDescription2026,Pipeline-Length Model,,,Rungs plus two headers,None,"Excludes risers tie-ins manifold routing and slack","material cost; installation",partially_verified,"ISS-0076; ISS-0078",
INP-0130,H2I-002,f_route,Hydrogen infield routing allowance,unresolved,fraction,unresolved_input,,Scope of the Length Result,,,Pre-route geometry only,None,Site dependent,L_routed,unsupported,ISS-0078,AC-cable 20 percent factor is explicitly not transferred
INP-0131,H2I-002,P_rung_assumed,Assumed 6 inch rung capacity,about 500,MW HHV,modelling_assumption,@internalModelDescription2026,Proposed Ladder Layout,,,6 inch at 150 bar with outlet condition absent,None,Section length and pressure dependent,"rung sizing; topology",unsupported,"ISS-0077; ISS-0084; ISS-0086",
INP-0132,H2I-002,A_infield,Infield pipeline availability,100,percent,modelling_assumption,,Capacity and Redundancy Checks,,,Zero-outage convention,None,Not a reliability result,annual hydrogen,unsupported,"ISS-0024; ISS-0025; ISS-0077",
INP-0133,H2I-003,p_in,Electrolyser/compressor inlet pressure,30,bar,modelling_assumption,,Key Assumptions,,,PEM outlet to compressor,None,Gauge/absolute basis not explicit,"stage count; compression work",not_checked,"ISS-0079; ISS-0085",
INP-0134,H2I-003,p_out,Compressor outlet and pipeline injection pressure,80-150,bar,scenario_input,,Key Assumptions,,,Hydrogen architectures,None,"Variable taxonomy and pressure class unresolved","compression; pipeline capacity",not_checked,"ISS-0020; ISS-0022; ISS-0085; ISS-0088",
INP-0135,H2I-003,r_max,Maximum compression ratio per stage,3.3,dimensionless,modelling_assumption,@transitionAcceleratorCompressorCost,Key Assumptions,,,All compressor stages,None,Technology dependent,N_stages,partially_verified,"ISS-0079; ISS-0081",
INP-0136,H2I-003,gamma,Hydrogen specific heat ratio,1.41,dimensionless,sourced_input,@transitionAcceleratorCompressorCost,Key Assumptions,,,Compression equation,None,Temperature dependent,w_shaft,verified,ISS-0079,
INP-0137,H2I-003,T,Compressor suction/intercooler temperature,298,K,modelling_assumption,,Key Assumptions,,,Every idealized stage,None,Perfect intercooling not stated,w_shaft,unsupported,ISS-0079,
INP-0138,H2I-003,eta_comp,Compressor isentropic efficiency,0.80,dimensionless,sourced_input,@transitionAcceleratorCompressorCost,Key Assumptions,,,Large pipeline compressor,None,Technology and load dependent,w_shaft,verified,"ISS-0079; ISS-0081",Page labels it only compressor efficiency
INP-0139,H2I-003,eta_motor,Compressor motor efficiency,0.95,dimensionless,sourced_input,@transitionAcceleratorCompressorCost,Key Assumptions,,,Electric motor,None,Load dependent,e_comp,verified,ISS-0079,
INP-0140,H2I-003,Z_avg,Average hydrogen compressibility factor,CoolProp property,dimensionless,derived_result,,Compression Energy,,,Hydrogen at model pressure and temperature,None,"Page figure and legacy code use different averaging","w_shaft; e_comp",not_checked,ISS-0079,CoolProp version not pinned
INP-0141,H2I-003,e_comp,Specific compressor electricity,"N*gamma*Z*R*T/((gamma-1)*M*eta_comp)*(r_s^((gamma-1)/gamma)-1)/(eta_motor*3.6e6)",kWh/kg H2,derived_result,@transitionAcceleratorCompressorCost,Compression Energy,,,Perfectly intercooled equal-ratio stages,None,Property method unresolved,"compressor power; annual energy",partially_verified,ISS-0079,30-to-150 bar figure-builder result is about 0.86 kWh/kg
INP-0142,H2I-003,b_comp,Compressor cost scaling exponent,0.8335,dimensionless,sourced_input,@transitionAcceleratorCompressorCost,Cost Model,2019,CAD,High-flow moderate-ratio compressor,None,Source maximum train rating applies,C_comp,verified,"ISS-0080; ISS-0081",
INP-0143,H2I-003,C_comp_ref,Compressor reference cost and power,"undefined; page gives about 56 EUR/kW electrolyser",EUR/kW electrolyser,unresolved_input,@transitionAcceleratorCompressorCost,Cost Model,,,Architecture-specific compressor,Undefined,"Motor-power coefficient and transformation omitted",compressor CAPEX,unsupported,ISS-0080,Legacy code uses coefficient 5138 on motor kW^0.8335
INP-0144,H2I-003,f_opex_comp,Compressor annual OPEX rate,3,percent of CAPEX/year,modelling_assumption,,Operating Cost and Availability,,,Compressor OPEX,No scope normalization,Conflicts with code and source,annual cost,unsupported,ISS-0082,Legacy code uses 2 percent
INP-0145,H2I-003,A_comp,Compressor availability,99,percent,modelling_assumption,,Operating Cost and Availability,,,Compressor subsystem,None,No redundancy/state evidence,annual hydrogen,unsupported,"ISS-0024; ISS-0025",
INP-0146,H2I-004,D,Pipeline internal diameter candidates,4-8,inch,scenario_input,@internalModelDescription2026,Sizing Variables,,,Composite pipeline,None,"Nominal versus internal diameter unresolved","capacity; material cost",unsupported,"ISS-0086; ISS-0088",
INP-0147,H2I-004,L_export,Baseline export route length,80,km,scenario_input,@internalModelDescription2026,Sizing Variables,,,Offshore farm to onshore interface,None,Landfall and routed basis absent,"capacity; material cost; installation",not_checked,"ISS-0028; ISS-0078",
INP-0148,H2I-004,p_out_export,Export pipeline outlet pressure,66,bar,modelling_assumption,@internalModelDescription2026,Sizing Variables,,,Dutch hydrogen-backbone interface,None,"Gauge absolute and receipt margin unresolved","capacity; onshore interface",unsupported,ISS-0085,
INP-0149,H2I-004,T_pipe,Pipeline flowing temperature,293,K,modelling_assumption,,Capacity Model,,,Steady isothermal export pipeline,None,Route/season dependent,"density; viscosity; capacity",unsupported,ISS-0084,
INP-0150,H2I-004,epsilon,Pipeline absolute roughness,1.5e-7,m,modelling_assumption,@perrysChemicalEngineersHandbook,Capacity Model,,,Composite pipe smooth bore,None,Manufacturer value not evidenced,"friction; capacity",unsupported,"ISS-0084; ISS-0086",
INP-0151,H2I-004,p_avg,Average pipeline pressure,"(2/3)*(p_in^3-p_out^3)/(p_in^2-p_out^2)",bar absolute,derived_result,@transitionAcceleratorHydrogenPipelines,Capacity Model,,,Gas-property evaluation,None,Requires absolute pressures,"density; viscosity",verified,ISS-0085,
INP-0152,H2I-004,m_dot_max,Pipeline mass-flow capacity,"rho_avg*pi*D^2/4*v*3600",kg/h,derived_result,"@transitionAcceleratorHydrogenPipelines; @perrysChemicalEngineersHandbook",Capacity Model,,,Steady horizontal line,None,"Implemented velocity relation not source-benchmarked","pipeline count; infield segment sizing",not_checked,ISS-0084,
INP-0153,H2I-004,HHV_H2,Hydrogen higher heating value,39.4,kWh/kg,sourced_input,,Capacity Model,,,HHV energy-equivalent reporting,None,Source not cited,P_H2_HHV,not_checked,,Consistent with shared methodology value
INP-0154,H2I-004,n_pipe,Parallel export pipeline count,ceil(m_dot_peak/m_dot_max),count,derived_result,,Dependence on Pressure and Diameter,,,Export route,None,"Capacity and qualified-class uncertainty","material; installation; optimisation",partially_verified,"ISS-0022; ISS-0084; ISS-0086",
INP-0155,H2I-004,c_mat,Pipeline material cost surface,"I(D,p)",EUR/m,sourced_input,@supplierSPipelineCost,Material Cost Model,unreported,EUR,Composite pipe material supply,No published normalization,"Confidential global regression not interpolation","material CAPEX; optimisation",unsupported,"ISS-0087; ISS-0088",
INP-0156,H2I-004,D_infield,Adopted infield pipeline diameter,6,inch,modelling_assumption,@internalModelDescription2026,Current Reference Assumptions,,,All ladder sections in current assumption,None,Headers need larger/parallel classes,"infield capacity; cost",unsupported,"ISS-0077; ISS-0086",
INP-0157,H2I-004,p_infield,Adopted infield pipeline inlet pressure,150,bar,modelling_assumption,@internalModelDescription2026,Current Reference Assumptions,,,Infield ladder,None,Section outlet pressure missing,"infield capacity; compressor duty",unsupported,"ISS-0077; ISS-0085; ISS-0088",
INP-0158,H2I-004,P_infield_cap,Adopted infield capacity,about 500,MW HHV,modelling_assumption,@internalModelDescription2026,Current Reference Assumptions,,,6 inch at 150 bar,None,Outlet pressure and section length absent,"rung/header sizing",unsupported,"ISS-0077; ISS-0084; ISS-0086",
INP-0159,H2I-004,f_opex_pipe,Pipeline annual OPEX rate,0.5,percent of material CAPEX/year,modelling_assumption,,Current Reference Assumptions,,,Infield and export material,None,Inspection/repair boundary absent,annual cost,unsupported,ISS-0089,
INP-0160,H2I-004,A_pipe,Infield and export pipeline availability,100,percent,modelling_assumption,,Availability,,,Zero-outage convention,None,No repair/state evidence,annual hydrogen,unsupported,"ISS-0024; ISS-0025; ISS-0077",
INP-0161,PLAT-001,N_platform,Number of central platforms,unresolved,count,unresolved_input,,Required Inputs,,,Electricity and central hydrogen,None,Capacity/multiplicity rule absent,"platform CAPEX; installation",unsupported,ISS-0027,
INP-0162,PLAT-001,m_equipment,Hosted equipment mass by component,unresolved,t,unresolved_input,,Required Inputs,,,Architecture-specific platform,None,Upstream ledgers absent,"topside sizing; lifts",unsupported,"ISS-0052; ISS-0063; ISS-0083",
INP-0163,PLAT-001,m_structure,Structural and outfitting mass addition,unresolved,t,unresolved_input,,Required Inputs,,,Topside structure/outfitting,None,Functional relationship absent,"material CAPEX; lifts",unsupported,ISS-0027,
INP-0164,PLAT-001,Q_support,Support-structure and foundation quantities,unresolved,mixed,unresolved_input,,Required Inputs,,,Selected platform support/foundation,None,Site/design class absent,"material CAPEX; installation",unsupported,ISS-0027,
INP-0165,PLAT-001,C_platform,Platform material and fabrication cost relationship,unresolved,EUR2025,unresolved_input,,Calculation logic not yet selected,,,Topside jacket and foundation supply,None,"Functional form scope and price basis absent","project CAPEX; LCOE",unsupported,ISS-0027,
INP-0166,PLAT-001,modules,Topside jacket and pile lift-module inventory,unresolved,records,unresolved_input,,Interface with Installation,,,Transport and lift definition,None,Module split and masses absent,INST-004,unsupported,"ISS-0027; ISS-0052; ISS-0063; ISS-0083",
INP-0167,INST-002,N,Number of turbines,scenario count,count,scenario_input,,Project Inputs,,,Foundation and turbine campaigns,None,Scenario dependent,"loads; duration; cost",not_applicable,,Must be a positive integer
INP-0168,INST-002,P_T,Turbine rated capacity,upstream result,MW,derived_input,,Project Inputs,,,Normalization only,None,Scenario dependent,EUR/MW,not_applicable,,Does not drive duration directly
INP-0169,INST-002,D_p,One-way selected port distance,unresolved,km,unresolved_input,,Project Inputs,,,Self-shuttling port route,None,Port not selected,"transit days; cost",unsupported,ISS-0091,
INP-0170,INST-002,D_i,Mean inter-turbine travel distance,upstream layout result,km,derived_input,,Project Inputs,,,Between installation locations,None,Layout dependent,"transit days; cost",partially_verified,,Actual route sequence may be preferable to a mean
INP-0171,INST-002,m_turbine,Complete transported turbine-set mass,upstream result,t,derived_input,,Project Inputs,,,Architecture-specific turbine set,None,Equipment ledger incomplete,"payload; loads",unsupported,"ISS-0038; ISS-0040",
INP-0172,INST-002,m_nacelle,Nacelle screening lift mass,upstream result,t,derived_input,,Project Inputs,,,Architecture-specific nacelle,None,Equipment ledger incomplete,lift feasibility,unsupported,ISS-0038,
INP-0173,INST-002,m_MP,Monopile screening lift mass,upstream result,t,derived_input,,Project Inputs,,,Monopile foundation,None,Surrogate uncertainty,"payload; lift",partially_verified,ISS-0041,
INP-0174,INST-002,m_TP,Transition-piece transported mass,unresolved,t,unresolved_input,,Project Inputs,,,Separate-TP concept,None,Not calculated,"foundation payload; loads",unsupported,ISS-0043,
INP-0175,INST-002,r_F,Foundation complete-spread rate,363297,EUR2025/day,provisional_screening_input,orbit2026InstallationDefaults,Initial Parameter Status,2025,EUR,Foundation campaign,"US CPI-U then ECB annual-average FX",Commercial boundary unverified,"foundation cost; total CAPEX",unsupported,ISS-0093,
INP-0176,INST-002,r_T,Turbine complete-spread rate,363297,EUR2025/day,provisional_screening_input,orbit2026InstallationDefaults,Initial Parameter Status,2025,EUR,Turbine campaign,"US CPI-U then ECB annual-average FX",Commercial boundary unverified,"turbine cost; total CAPEX",unsupported,ISS-0093,
INP-0177,INST-002,t_mob_F,Foundation mobilisation and demobilisation time,7,day/campaign,sourced_input,orbit2026InstallationDefaults,Initial Parameter Status,,,Foundation campaign,None,Source is mobilisation to site only,"foundation duration; cost",unsupported,ISS-0092,
INP-0178,INST-002,t_mob_T,Turbine mobilisation and demobilisation time,7,day/campaign,sourced_input,orbit2026InstallationDefaults,Initial Parameter Status,,,Turbine campaign,None,Source is mobilisation to site only,"turbine duration; cost",unsupported,ISS-0092,
INP-0179,INST-002,t_port_F,Foundation port work per set,(12+8)/24,day/set,derived_input,nunemaker2020ORBIT,Initial Evidence Basis,,,Monopile plus TP fastening,None,Task-model proxy,foundation duration,verified,,Arithmetic reproduced
INP-0180,INST-002,t_port_T,Turbine port work per set,(4+4+3*1.5)/24,day/set,derived_input,nunemaker2020ORBIT,Initial Evidence Basis,,,Tower nacelle and three blades,None,Task-model proxy,turbine duration,verified,,Arithmetic reproduced
INP-0181,INST-002,t_site_F,Foundation net site occupation,3.0,day/location,modelling_assumption,boem2021SouthForkCOP,Initial Evidence Basis,,,Normal no-weather foundation work,None,2 to 4 sensitivity,"foundation duration; cost",partially_verified,,Transparent midpoint of cited range
INP-0182,INST-002,t_site_T,Turbine effective site occupation,unresolved,day/location,unresolved_input,,Initial Parameter Status,,,Normal turbine erection,None,Material input absent,"turbine duration; cost",unsupported,ISS-0091,
INP-0183,INST-002,k_ref_F,Reference foundation sets per load,unresolved,set/load,unresolved_input,,Initial Parameter Status,,,Selected foundation campaign,None,Vessel/project specific,"loads; duration",unsupported,ISS-0091,
INP-0184,INST-002,k_ref_T,Reference turbine sets per load,6,set/load,project_reference,rwe2026SofiaTurbines,Initial Parameter Status,,,14 MW Sofia logistics,None,Not coherent with generic rate,"loads; duration",partially_verified,ISS-0091,Validation anchor rather than universal value
INP-0185,INST-002,M_use_F,Usable foundation vessel payload,unresolved,t,unresolved_input,,Initial Parameter Status,,,After deck and equipment limits,None,Named vessel absent,"loads; feasibility",unsupported,ISS-0091,
INP-0186,INST-002,M_use_T,Usable turbine vessel payload,unresolved,t,unresolved_input,,Initial Parameter Status,,,After deck and equipment limits,None,Named vessel absent,"loads; feasibility",unsupported,ISS-0091,
INP-0187,INST-002,SWL_F,Governing foundation crane capacity,unresolved,t,unresolved_input,,Initial Parameter Status,,,Intended radius/configuration,None,Named vessel absent,lift feasibility,unsupported,ISS-0091,
INP-0188,INST-002,SWL_T,Governing turbine crane capacity,unresolved,t,unresolved_input,,Initial Parameter Status,,,Intended radius/configuration,None,Named vessel absent,lift feasibility,unsupported,ISS-0091,
INP-0189,INST-002,v_F,Foundation vessel travel speed,444,km/day,derived_input,orbit2026InstallationDefaults,Initial Evidence Basis,,,Generic WTIV proxy,10 kn converted to km/day,Campaign mismatch,"foundation duration; cost",partially_verified,ISS-0093,
INP-0190,INST-002,v_T,Turbine vessel travel speed,444,km/day,derived_input,orbit2026InstallationDefaults,Initial Evidence Basis,,,Generic WTIV proxy,10 kn converted to km/day,Campaign mismatch,"turbine duration; cost",partially_verified,ISS-0093,
INP-0191,INST-003,inventory,Route section asset and interface inventory,unresolved,records,unresolved_input,,Physical Quantities and Installation Configuration,,,Cable and TCP subclasses,None,All upstream inventories incomplete,"physical km; passes; events",unsupported,"ISS-0001; ISS-0002; ISS-0069; ISS-0078",
INP-0192,INST-003,s,Installation slack fraction,project value,fraction,modelling_assumption,,Physical Quantities and Installation Configuration,,,Per selected asset/route,None,Evidence/site basis incomplete,"physical product; lay time",unsupported,"ISS-0008; ISS-0096",
INP-0193,INST-003,L_vert,Vertical and structure allowance,total separately calculated,km,derived_input,,Physical Quantities and Installation Configuration,,,All physical assets,None,Upstream methods missing,"product length; loading; lay time",unsupported,"ISS-0002; ISS-0078; ISS-0096",
INP-0194,INST-003,lambda_product,Product linear mass,product-specific,t/km,sourced_or_derived_input,,Lay-vessel feasibility and selection,,,Selected cable or TCP product,None,Proxy cable data and no TCP qualification,"loading; vessel feasibility",unsupported,"ISS-0069; ISS-0086",
INP-0195,INST-003,M_usable,Usable product payload,candidate-specific,t,contractor_input,,Lay-vessel feasibility and selection,,,After reel/deck equipment,None,Candidate records absent,"loading; selection",unsupported,ISS-0099,
INP-0196,INST-003,L_limits,Reel partition manufacturing and handling limits,candidate/product-specific,km/load,contractor_input,,Lay-vessel feasibility and selection,,,Per product and candidate,None,Commercial/product inputs absent,"loading; qualification",unsupported,"ISS-0086; ISS-0099",
INP-0197,INST-003,I_qualified,Supplier/contractor installation qualification gate,unresolved,binary,contractor_input,,Lay-vessel feasibility and selection,,,Product vessel route combination,None,Required engineering unavailable,"feasible candidate set",unsupported,"ISS-0086; ISS-0099",
INP-0198,INST-003,r_spreads,Lay burial and ROV/survey complete-spread rates,"219041; unresolved; unresolved",EUR2025/day,provisional_and_unresolved,orbit2026V13CableDefaults,Three-Spread Installation Cost Model,2025,EUR,Separate spreads,"US CPI-U then ECB annual-average FX",Lay boundary unverified and other rates absent,installation CAPEX,unsupported,"ISS-0098; ISS-0099",
INP-0199,INST-003,T_mob_demob,Mobilisation and demobilisation by spread,partly unresolved,day/spread,unresolved_input,orbit2026V13CableDefaults,Spread time calculations,,,Selected campaign,None,Demobilisation absent and voyage boundary unclear,"spread days; cost",unsupported,"ISS-0097; ISS-0099",
INP-0200,INST-003,q_spreads,Lay burial and survey production,"9.6; unresolved; unresolved",km/day/pass,provisional_and_unresolved,orbit2026V13CableDefaults,Spread time calculations,,,Route and tool specific,None,Burial/survey absent and length basis unclear,"spread days; cost",unsupported,"ISS-0096; ISS-0099",
INP-0201,INST-003,event_inputs,Interface splice setup reposition and recovery counts/times,subclass-specific,counts and h/event,sourced_or_project_input,orbit2026V13CableDefaults,Spread time calculations,,,Cable task model; TCP separate,None,TCP and some cable interfaces unresolved,"spread days; cost",unsupported,"ISS-0069; ISS-0078; ISS-0099",
INP-0202,INST-003,D_port,One-way loading-port distance,unresolved,km,unresolved_input,,Port returns,,,Each mobilised campaign,None,Port/campaign selection absent,"transit days; cost",unsupported,"ISS-0097; ISS-0099",
INP-0203,INST-003,w_spreads,Weather uplift by spread,unresolved,fraction,unresolved_input,,Weather and Total Installation CAPEX,,,Offshore-exposed work,None,Metocean/operability basis absent,"spread days; cost",unsupported,ISS-0099,
INP-0204,INST-003,survey_scope,Survey pass lengths productivity interface time and support fractions,unresolved,mixed,unresolved_input,,ROV and Survey-Spread Time,,,Selected route and method,None,Scope and contractor evidence absent,"ROV days; cost",unsupported,ISS-0099,
INP-0205,INST-003,C_exceptional,Crossing protection landfall and other exceptional costs,unresolved,EUR2025,unresolved_input,,Weather and Total Installation CAPEX,2025,EUR,Outside complete spreads,None,Site scope and rates absent,installation CAPEX,unsupported,ISS-0099,
INP-0206,INST-004,N_OSS,Number of substations,unresolved,count,derived_input,,Model Inputs,,,Selected architecture,None,Multiplicity rule absent,"campaign counts; cost",unsupported,ISS-0027,
INP-0207,INST-004,N_module_per_OSS,Topside lift modules per substation,unresolved,lift/OSS,project_input,,Model Inputs,,,Selected installation concept,None,Module inventory absent,"lift count; duration",unsupported,"ISS-0101; ISS-0103",
INP-0208,INST-004,m_lifts,Jacket pile and largest topside-module lift masses,unresolved,t,derived_input,,Model Inputs,,,Lift-applicable item records,None,PLAT-001 physical ledger absent,"class screen; logistics",unsupported,ISS-0101,
INP-0209,INST-004,Q_classes,Jacket pile and topside installation-class capacities,unresolved,t,contractor_input,,Model Inputs,,,Intended configuration and radius,None,Named classes absent,class feasibility,unsupported,ISS-0101,
INP-0210,INST-004,t_campaigns,Net site logistics and hook-up durations,"5.0; 2.5; unresolved logistics and hook-up",day,provisional_and_unresolved,boem2021CVOWCOP,Duration,,,Crane-installed piled-jacket/topside,None,Topside anchor basis and scope unresolved,"campaign days; cost",unsupported,"ISS-0102; ISS-0103; ISS-0104",
INP-0211,INST-004,r_campaigns,Piled-jacket topside and hook-up complete-spread rates,unresolved,EUR2025/day,unresolved_input,,Commercial Inputs,2025,EUR,Three campaigns,None,No evidence adopted,"campaign cost; total CAPEX",unsupported,ISS-0102,
INP-0212,INST-004,C_mob,Total non-overlapping mobilisation and demobilisation cost,unresolved,EUR2025,unresolved_input,,Commercial Inputs,2025,EUR,Three campaigns after shared mobilisation,None,Commercial input absent,total CAPEX,unsupported,ISS-0102,
INP-0213,INST-004,C_exceptional,Defined exceptional platform installation work,unresolved,EUR2025,unresolved_input,,Commercial Inputs,2025,EUR,Outside normal campaign spreads,None,Site scope absent,total CAPEX,unsupported,ISS-0102,
INP-0214,METH-003,f_decom,Decommissioning allowance,0.80,fraction of offshore installation CAPEX,modelling_assumption,,Decommissioning,,,Total non-overlapping offshore installation CAPEX,None,Simplified unsupported factor,"lifecycle capital basis; annual cost",not_applicable,,DEC-0004 assumption; no separate activity model
INP-0215,METH-003,N_replacement_j,Required component replacement count,"ceil(n/n_j)-1",count,derived_result,,Component Replacement,,,Material documented technical life shorter than project life,None,Replacement at year 25 excluded,"replacement cost; lifecycle capital basis",verified,,Checked for 25-year 10-year and 5-year component lives
INP-0216,METH-003,C_lifecycle_capital,Lifecycle capital basis,"C_initial + C_replacement + C_decommissioning",EUR2025,derived_result,,Lifecycle Capital Basis and Annual Cost,2025,EUR,All included capital categories,None,Required unresolved shared fields block complete result,"annual cost; capital intensity",verified,,No timing discount or residual credit under DEC-0004
INP-0217,METH-003,C_annual,Annualized modelled cost,"CRF*C_lifecycle_capital + sum(O_j)",EUR2025/year,derived_result,,Lifecycle Capital Basis and Annual Cost,2025,EUR,Non-overlapping architecture cost ledger,None,Required unresolved fields return not_parameterized,"electricity and hydrogen carrier cost",verified,,OPEX remains annual and component-owned
INP-0218,METH-002,c_initial,Initial installed capital intensity,"C_initial/P_wind_rated",EUR2025/kW-wind,derived_result,,Capital-Intensity Outputs,2025,EUR,Installed wind-turbine rated capacity denominator,None,Label excludes replacement and decommissioning,all architecture reporting,verified,,Denominator is not converter electrolyser or export capacity
INP-0219,METH-002,LC_electricity,Electricity carrier cost,"C_annual_electricity/E_electricity_onshore",EUR2025/MWh-electricity,derived_result,,Annual Carrier-Cost Outputs,2025,EUR,Defined onshore electrical delivery point,None,Not a common end-use metric,electricity reporting,verified,,Tier 1 product under DEC-0003
INP-0220,METH-002,LC_H2_HHV,Hydrogen carrier cost,"C_annual_H2/E_H2_onshore_HHV",EUR2025/MWh-H2-HHV,derived_result,,Annual Carrier-Cost Outputs,2025,EUR,Defined onshore hydrogen delivery point,None,Not a common end-use metric,hydrogen reporting,verified,,Tier 1 product under DEC-0003
INP-0221,METH-002,LC_H2_kg,Hydrogen cost per mass,"LC_H2_HHV*HHV_H2/1000",EUR2025/kg-H2,derived_result,,Annual Carrier-Cost Outputs,2025,EUR,Same landed hydrogen result,None,Uses 0.0394 MWh/kg,hydrogen reporting,verified,,100 EUR/MWh-H2-HHV equals 3.94 EUR/kg-H2
INP-0222,METH-006,E_H2_HHV,Landed hydrogen HHV energy,"m_H2*39.4/1000",MWh-H2-HHV/year,derived_result,nrel2009ElectrolysisCost,Energy Basis,,,Defined onshore hydrogen delivery point,None,Mass must be landed annual hydrogen,"hydrogen carrier-cost denominator",verified,,kg times kWh/kg divided by 1000 kWh/MWh
